"","tFirst","tSecond","type"
"413",2021-12-06 10:55:41,2021-12-06 22:42:36,2
"414",2021-12-06 22:42:36,2021-12-07 11:02:11,1
"415",2021-12-07 11:02:11,2021-12-07 22:40:27,2
"416",2021-12-07 22:40:27,2021-12-08 11:02:47,1
"417",2021-12-08 11:02:47,2021-12-08 22:45:27,2
"418",2021-12-08 22:45:27,2021-12-09 11:00:11,1
"419",2021-12-09 11:00:11,2021-12-09 22:47:36,2
"420",2021-12-09 22:47:36,2021-12-10 11:02:11,1
"421",2021-12-10 11:02:11,2021-12-10 22:51:36,2
"422",2021-12-10 22:51:36,2021-12-11 10:58:51,1
"423",2021-12-11 10:58:51,2021-12-11 22:42:57,2
"424",2021-12-11 22:42:57,2021-12-12 11:00:31,1
"425",2021-12-12 11:00:31,2021-12-12 22:49:12,2
"426",2021-12-12 22:49:12,2021-12-13 11:00:31,1
"427",2021-12-13 11:00:31,2021-12-13 22:53:32,2
"428",2021-12-13 22:53:32,2021-12-14 11:00:31,1
"429",2021-12-14 11:00:31,2021-12-14 22:51:47,2
"430",2021-12-14 22:51:47,2021-12-15 10:59:11,1
"431",2021-12-15 10:59:11,2021-12-15 22:53:12,2
"432",2021-12-15 22:53:12,2021-12-16 10:55:31,1
"433",2021-12-16 10:55:31,2021-12-16 22:50:12,2
"434",2021-12-16 22:50:12,2021-12-17 10:55:31,1
"435",2021-12-17 10:55:31,2021-12-17 22:53:36,2
"436",2021-12-17 22:53:36,2021-12-18 10:57:11,1
"437",2021-12-18 10:57:11,2021-12-18 22:55:27,2
"438",2021-12-18 22:55:27,2021-12-19 10:55:51,1
"439",2021-12-19 10:55:51,2021-12-19 22:53:32,2
"440",2021-12-19 22:53:32,2021-12-20 11:05:11,1
"441",2021-12-20 11:05:11,2021-12-20 22:51:42,2
"442",2021-12-20 22:51:42,2021-12-21 11:07:11,1
"443",2021-12-21 11:07:11,2021-12-21 22:54:12,2
"444",2021-12-21 22:54:12,2021-12-22 11:03:11,1
"445",2021-12-22 11:03:11,2021-12-22 22:53:32,2
"446",2021-12-22 22:53:32,2021-12-23 11:01:56,1
"447",2021-12-23 11:01:56,2021-12-23 22:55:27,2
"448",2021-12-23 22:55:27,2021-12-24 11:07:41,1
"449",2021-12-24 11:07:41,2021-12-24 22:47:57,2
